id,posted_by,text,hashtags,in_reply_to_status_id
794940142867902465,Barack Obama,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address: https://t.co/Pfk…",[],
794228145310154752,Barack Obama,RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before…,[],
793579933201231880,Barack Obama,"RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:…","[{u'indices': [19, 34], u'text': u'LatinaEqualPay'}]",
792853954518327296,Barack Obama,"RT @OFA: Witch plan is best for you? Thanks to Obamacare, even pre-existing conditions can't stop you from comparing your options. #GetCove…",[],
790952188948340736,Barack Obama,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi…",[],
789156519740788737,Barack Obama,"RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: https://t.co…","[{u'indices': [121, 125], u'text': u'ACA'}]",
788770735489552385,Barack Obama,"RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation’s history. Lowes…","[{u'indices': [70, 74], u'text': u'ACA'}]",
788040236982939648,Barack Obama,RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c…,[],
786588412656562176,Barack Obama,"RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIRED’s guest editor: https://t.co…",[],
786309121393856512,Barack Obama,"RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/…","[{u'indices': [28, 50], u'text': u'HispanicHeritageMonth'}]",
785993169460527104,Barack Obama,"""On behalf of Michelle and our family, G’mar Chatimah Tovah."" —President Obama #YomKippur","[{u'indices': [79, 89], u'text': u'YomKippur'}]",
784392680008712192,Barack Obama,"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record.",[],
782250219027128320,Barack Obama,"RT @OFA: ""Since I took office, another ten million private-sector workers have gained paid sick leave."" —President Obama https://t.co/Ud3vq…",[],
773952874833321984,Barack Obama,"RT @VPLive: ""Every nominee, including Kennedy in an election year—got an up or down vote"" —@VP on serving as Senate Judiciary Chairman or R…",[],
771727047710412800,Barack Obama,"The economy added 151,000 jobs in August—extending the longest streak of total job growth on record.",[],
768840000070791168,Barack Obama,RT @SecretaryJewell: .@NatlParkService 💯 bday is a great time to look to next century—connecting all Americans to parks &amp; conservation.SJ h…,[],
761570241772224512,Barack Obama,"The economy added 255,000 jobs in July—a record-breaking 77 months of private-sector job growth.",[],
757658599254401024,Barack Obama,"RT @FactsOnClimate: Announcing the sequel to the #ParisAgreement — ""the most significant action this year"" to reduce global warming: https:…","[{u'indices': [49, 64], u'text': u'ParisAgreement'}]",
757605228313096192,Barack Obama,The federal minimum wage hasn't been raised since 2009. $7.25 isn't enough to make ends meet—we need to #RaiseTheWage.,"[{u'indices': [104, 117], u'text': u'RaiseTheWage'}]",
755817993637027840,Barack Obama,"RT @WhiteHouse: FACT: Since @POTUS took office more than 50,000 workers have been trained to enter the solar industry #ActOnClimate https:/…","[{u'indices': [118, 131], u'text': u'ActOnClimate'}]",
751428889348493312,Barack Obama,"RT @WhiteHouse: ""We stand united with the people and the police department in Dallas."" —@POTUS on last night's attack in #Dallas: https://t…","[{u'indices': [121, 128], u'text': u'Dallas'}]",
751178271459463168,Barack Obama,"RT @WhiteHouse: At 6:35pm ET, @POTUS will speak on the reports of police shootings in Louisiana and Minnesota. Tune in: https://t.co/h292HS…",[],
749683934548619264,Barack Obama,"""Just imagine the peace and justice that would be possible in our world if we all lived a little more like Elie Wiesel."" —President Obama",[],
748958754020790272,Barack Obama,Chicago raising its minimum wage is another reminder: Congress needs to keep up and #RaiseTheWage for hard-working Americans nationwide.,"[{u'indices': [84, 97], u'text': u'RaiseTheWage'}]",
748957408878211072,Barack Obama,Congrats to Chicago and all those who fought to #RaiseTheWage. Boosting paychecks for hard-working Americans is the right thing to do.,"[{u'indices': [48, 61], u'text': u'RaiseTheWage'}]",
747815714447233024,Barack Obama,"""She outworked her rivals ... and became a role model to millions of Americans—including our two daughters."" —President Obama on Pat Summitt",[],
747529470026780672,Barack Obama,RT @SecretaryJewell: Today we celebrate Stonewall National Monument &amp; all those who made the 1st LGBT monument possible.SJ #FindYourPark ht…,"[{u'indices': [127, 140], u'text': u'FindYourPark'}]",
745687620957548545,Barack Obama,RT @repjohnlewis: My colleagues &amp; I have had enough. We are sitting-in on the House Floor until we get a vote to address gun violence. http…,[],
745281834804617216,Barack Obama,"RT @POTUS: Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American peo…",[],
744250571465629696,Barack Obama,"RT @WhiteHouse: ""These parks belong to all of us. This planet belongs to all of us. It’s the only one we’ve got"" —@POTUS in Yosemite https:…",[],
743871594959896576,Barack Obama,RT @VP: Taking steps to reduce gun violence worth doing if it could save one life. But it could save far more. Finish this. https://t.co/P7…,[],
743619451589898240,Barack Obama,RT @WhiteHouse: Today @POTUS &amp; @VP visited Orlando. Watch the President give remarks after meeting with the families of the victims: https:…,[],
739120021297893376,Barack Obama,"""We pray that the greatest fighter of them all finally rests in peace."" —President Obama #RIPMuhammadAli","[{u'indices': [89, 104], u'text': u'RIPMuhammadAli'}]",
738393341243445248,Barack Obama,RT @POTUS: We cannot accept our level of gun violence as the new normal. We must take action to prevent this from happening again &amp; again.…,[],
738102973201448961,Barack Obama,RT @WhiteHouse: “Our deficits haven’t grown these past seven and a half years; we’ve cut them by almost 75%.” —@POTUS https://t.co/k24EI0FG…,[],
733044144902275072,Barack Obama,RT @WhiteHouse: Today we're updating and strengthening #overtime pay rules to make sure millions more Americans are paid fairly. https://t.…,"[{u'indices': [55, 64], u'text': u'overtime'}]",
732263888050233344,Barack Obama,RT @BuzzFeed: Tune in this afternoon as @chrisgeidner interviews President Obama live from the White House on FB Live and YouTube! https://…,[],
728579886663802880,Barack Obama,"The economy added 160,000 jobs in April—a record-breaking 74 months of private-sector job growth.",[],
727498012004638720,Barack Obama,The United States just hit one million solar installations—enough to power 5.5 million homes. #MillionSolarStrong,"[{u'indices': [94, 113], u'text': u'MillionSolarStrong'}]",
723903245848973312,Barack Obama,"""From our family to yours, chag sameach."" —President Obama #Passover","[{u'indices': [59, 68], u'text': u'Passover'}]",
723638166243016704,Barack Obama,RT @VancityReynolds: Huge day for our Great Green Spinning Chunk of Awesome. Thank you world leaders for taking #ClimateAction. https://t.c…,"[{u'indices': [112, 126], u'text': u'ClimateAction'}]",
723561861887614976,Barack Obama,"RT @WhiteHouse: “Today, on #EarthDay, our governments, along with about 170 others, are in New York to sign that agreement.” —@POTUS https:…","[{u'indices': [27, 36], u'text': u'EarthDay'}]",
723241770411122688,Barack Obama,"""'A strong spirit transcends rules,' Prince once said—and nobody's spirit was stronger, bolder, or more creative."" —President Obama",[],
722898434479382528,Barack Obama,RT @WhiteHouse: .@VP breaks down why it's time for the Senate Republicans to give the President's @SCOTUSnom a hearing. #DoYourJob  https:/…,"[{u'indices': [120, 130], u'text': u'DoYourJob'}]",
719632855702183938,Barack Obama,"RT @SCOTUSnom: ICYMI: @POTUS discusses what his hope is in the Senate regarding his nominee, Judge Garland. 

(Hint: #DoYourJob) https://t.…","[{u'indices': [117, 127], u'text': u'DoYourJob'}]",
718174915405357056,Barack Obama,"RT @SCOTUSnom: ""Why is it so hard for this guy to get a hearing and a vote?"" —@POTUS on GOP obstruction of #SCOTUS nom. #DoYourJob https://…","[{u'indices': [107, 114], u'text': u'SCOTUS'}, {u'indices': [120, 130], u'text': u'DoYourJob'}]",
717415813653737472,Barack Obama,"RT @WhiteHouse: ""We should keep building an economy where everybody has a fair shot, and everybody plays by the same rules."" —@POTUS https:…",[],
715909089113432064,Barack Obama,"The economy added 215,000 jobs in March—a record-breaking 73 months of private-sector job growth.",[],
714456576531140616,Barack Obama,"RT @WhiteHouse: Watch how one of our oldest traditions, the White House #EasterEggRoll, has evolved over the past 138 years. https://t.co/2…","[{u'indices': [72, 86], u'text': u'EasterEggRoll'}]",
713480603975311360,Barack Obama,"""Michelle and I join our fellow Christians in observing Good Friday and celebrating Easter this weekend."" —President Obama #GoodFriday","[{u'indices': [123, 134], u'text': u'GoodFriday'}]",
713465168580227077,Barack Obama,Follow @WeNeedNine for updates on the fight to fill the Supreme Court vacancy. #FF,"[{u'indices': [79, 82], u'text': u'FF'}]",
713452099846012929,Barack Obama,"RT @OFA: When the @VP was Chairman of the Senate Judiciary Committee, every single #SCOTUS nominee got a hearing and a vote. https://t.co/J…","[{u'indices': [83, 90], u'text': u'SCOTUS'}]",
712290319157428224,Barack Obama,"RT @WhiteHouse: ""The thoughts and prayers of the American people are with the people of Belgium"" —@POTUS on the attacks in #Brussels https:…","[{u'indices': [123, 132], u'text': u'Brussels'}]",
710504406521806848,Barack Obama,"RT @WhiteHouse: ""He is the right man for the job. He deserves to be confirmed."" —@POTUS on his #SCOTUSnominee Merrick Garland https://t.co/…","[{u'indices': [95, 109], u'text': u'SCOTUSnominee'}]",
708042148512333824,Barack Obama,"RT @FactsOnClimate: ""Canada is joining us in our aggressive goal to bring down methane emissions in the oil and gas sector"" —@POTUS https:/…",[],
708001044727377920,Barack Obama,"RT @WhiteHouse: ""I'm going to do my job and then my expectation is going to be will the Senate do its job"" —@POTUS #SCOTUS https://t.co/sNB…","[{u'indices': [115, 122], u'text': u'SCOTUS'}]",
707654578783662081,Barack Obama,RT @WhiteHouse: Vermont just took the #LeadOnLeave so families won't have to choose between their job and the family they love. https://t.c…,"[{u'indices': [38, 50], u'text': u'LeadOnLeave'}]",
707340593077329921,Barack Obama,RT @FLOTUS: #OneDayIWill see a world where every child can go to school and fulfill their boundless potential. #IWD2016 https://t.co/FonwXC…,"[{u'indices': [12, 24], u'text': u'OneDayIWill'}, {u'indices': [111, 119], u'text': u'IWD2016'}]",
705779942852845568,Barack Obama,"The economy added 242,000 jobs in February—a record-breaking six straight years of private-sector job growth.",[],
705495403827859456,Barack Obama,RT @WhiteHouse: BREAKING: 20 million more Americans now know the security of health insurance thanks to the Affordable Care Act. https://t.…,[],
705160499902726145,Barack Obama,"RT @WhiteHouse: Good news: Oregon just raised its minimum wage. 

RT if you agree it's time to #RaiseTheWage for all Americans. https://t.c…","[{u'indices': [95, 108], u'text': u'RaiseTheWage'}]",
704713505153392640,Barack Obama,Today's the 55th birthday of the @PeaceCorps. Thanks to all who have served across the globe. #PeaceCorpsWeek2016,"[{u'indices': [94, 113], u'text': u'PeaceCorpsWeek2016'}]",
704335283135729664,Barack Obama,"RT @WhiteHouse: Climate change ""is the most urgent threat facing our entire species.""

RT if you agree with @LeoDiCaprio. #Oscars https://t…","[{u'indices': [122, 129], u'text': u'Oscars'}]",
704162086889394176,Barack Obama,"RT @VPLive: ""They. Did. Nothing. Wrong."" -@VP at #Oscars #ItsOnUs","[{u'indices': [49, 56], u'text': u'Oscars'}, {u'indices': [57, 65], u'text': u'ItsOnUs'}]",
703288404113383424,Barack Obama,"RT @ENERGY: It's been 7 years since @POTUS signed the #RecoveryAct. See how it shaped our #CleanEnergy future. #ActOnClimate
https://t.co/R…","[{u'indices': [54, 66], u'text': u'RecoveryAct'}, {u'indices': [90, 102], u'text': u'CleanEnergy'}, {u'indices': [111, 124], u'text': u'ActOnClimate'}]",
700367551268675584,Barack Obama,"RT @WhiteHouse: ""For the third time as President, I get to say: Give it up for the Stanley Cup champs – my hometown Chicago Blackhawks!"" —@…",[],
700014739938643968,Barack Obama,RT @WhiteHouse: Watch @POTUS explain why there's more than enough time for the Senate to consider a #SCOTUS nominee he presents. https://t.…,"[{u'indices': [100, 107], u'text': u'SCOTUS'}]",
699420308206456833,Barack Obama,RT @WhiteHouse: Shoutout to @KendrickLamar and all the artists at the #Grammys working to build a brighter future. #MyBrothersKeeper https:…,"[{u'indices': [70, 78], u'text': u'Grammys'}, {u'indices': [115, 132], u'text': u'MyBrothersKeeper'}]",
696815831334846465,Barack Obama,"RT @CBSThisMorning: WATCH: @POTUS and @FLOTUS play @GayleKing's game ""I love it when..."" during LIVE interview ahead of #SB50 on @CBS!
http…","[{u'indices': [120, 125], u'text': u'SB50'}]",
695388212798173184,Barack Obama,RT @WhiteHouse: BREAKING: Nearly 13 million Americans have signed up for private health coverage thanks to the Affordable Care Act. https:/…,[],
695382806323548161,Barack Obama,"RT @funnyordie: Dennis Quaid &amp; Amanda Peet reveal the one thing more popular in America than Taylor Swift, dogs, and football.
https://t.co…",[],
690583874213031936,Barack Obama,"""The government should not intrude on private decisions made between a woman and her doctor."" —President Obama #Roe43","[{u'indices': [111, 117], u'text': u'Roe43'}]",
689124766888886273,Barack Obama,"""It is our mission to fulfill his vision of a nation devoted to rejecting bigotry in all its forms."" —President Obama #MLKDay","[{u'indices': [118, 125], u'text': u'MLKDay'}]",
688105672265707520,Barack Obama,"RT @WhiteHouse: ""If you don't have health insurance on your job then you shouldn't be without coverage"" —@POTUS #YouTubeAsksObama https://t…","[{u'indices': [112, 129], u'text': u'YouTubeAsksObama'}]",
687109831237345281,Barack Obama,"""I believe in change because I believe in you."" —President Obama #SOTU","[{u'indices': [65, 70], u'text': u'SOTU'}]",
687109072349298688,Barack Obama,"""I can promise that a year from now, when I no longer hold this office, I’ll be right there with you as a citizen."" —President Obama #SOTU","[{u'indices': [133, 138], u'text': u'SOTU'}]",
687108544823345153,Barack Obama,"""Our collective future depends on your willingness to uphold your obligations as a citizen."" —President Obama #SOTU","[{u'indices': [110, 115], u'text': u'SOTU'}]",
687108013849624576,Barack Obama,"""Democracy breaks down when the average person feels their voice doesn’t matter."" —President Obama #SOTU","[{u'indices': [99, 104], u'text': u'SOTU'}]",
687107713227083777,Barack Obama,"""Our public life withers when only the most extreme voices get all the attention."" —President Obama #SOTU","[{u'indices': [100, 105], u'text': u'SOTU'}]",
687107588022902784,Barack Obama,"""Democracy grinds to a halt without a willingness to compromise."" —President Obama #SOTU","[{u'indices': [83, 88], u'text': u'SOTU'}]",
687107391817564161,Barack Obama,"""Democracy does require basic bonds of trust between its citizens."" —President Obama #SOTU","[{u'indices': [85, 90], u'text': u'SOTU'}]",
