id,posted_by,text,hashtags,in_reply_to_status_id
799027835470024704,Emma Watson,@VogueRunway @voguemagazine Thank you ! X,[],799000561504976896
798508518852751361,Emma Watson,"RT @lumos: ""This is a solvable problem."" @jk_rowling calls on you to help spread the word about the 8 million children hidden in orphanages…",[],
798506537530441728,Emma Watson,"RT @jk_rowling: Rage is to righteousness as certainty is to wisdom. Constantly mistaken for each other, they're hardly ever in the same roo…",[],
798158326404030464,Emma Watson,"RT @beourguest: Watch the brand new trailer for #BeautyAndTheBeast, starring @EmmaWatson &amp; @ThatDanStevens 🌹 #BeOurGuest 3.17.17 https://t.…","[{u'indices': [48, 66], u'text': u'BeautyAndTheBeast'}, {u'indices': [113, 124], u'text': u'BeOurGuest'}]",
797980246037434368,Emma Watson,RT @TheRealLukevans: A tale as old as time... World premiere of the #BeautyAndTheBeast trailer coming tomorrow on @GMA  #BeOurGuest https:/…,"[{u'indices': [68, 86], u'text': u'BeautyAndTheBeast'}, {u'indices': [120, 131], u'text': u'BeOurGuest'}]",
796480736064839680,Emma Watson,"RT @BooksSubway: A beautiful post, thanks to @Waterstones Leadenhall Market for sharing this quote from Maya Angelou. #oursharedshelf @ours…","[{u'indices': [118, 133], u'text': u'oursharedshelf'}]",
796443093709029377,Emma Watson,Today I am going to deliver Maya Angelou books to the New York subway. Then I am going to fight even harder for all the things I believe in.,[],
795329919924453377,Emma Watson,I'm home and really geeking out over this - #PlanetEarth2 starts TONIGHT at 8pm on @BBCOne &amp; 9pm on BBC Earth Nordics. Can't wait!,"[{u'indices': [44, 57], u'text': u'PlanetEarth2'}]",
793560313329225728,Emma Watson,"RT @BooksUndergrnd: Copies of the #OurSharedShelf read Mom&amp;Me&amp;Mom travel the tube today, with a special something inside from @EmWatson htt…","[{u'indices': [34, 49], u'text': u'OurSharedShelf'}]",
793102875681488897,Emma Watson,If you’re in London keep your eyes peeled for a surprise on the tube tomorrow… #OurSharedShelf #Mom&amp;Me&amp;Mom @BooksUndergrnd,"[{u'indices': [79, 94], u'text': u'OurSharedShelf'}, {u'indices': [95, 99], u'text': u'Mom'}]",
792009344074280962,Emma Watson,RT @MalalaFund: Aziz Ansari is inviting YOU to the Master of None Season 2 set! Support Malala Fund &amp; girls’ education by entering: https:/…,[],
781467286158843904,Emma Watson,"RT @OneYoungWorld: ""I am here to network, to hear other people ideas, their success stories and get inspired.""- Abhinav Khanal, Nepal #OYWM…",[],
781466821434208258,Emma Watson,"RT @OneYoungWorld: For the first time ever, the refugee flag is a part of the #OYW Flag Bearing Ceremony, tonight in the nations capital at…","[{u'indices': [78, 82], u'text': u'OYW'}]",
