id,posted_by,text,hashtags,in_reply_to_status_id
781578163088400384,Kaka,Happy bday my dear friend @jksheva7 I wish you all the best! #Sheva40,"[{u'indices': [61, 69], u'text': u'Sheva40'}]",
766817132600438784,Kaka,"RT @usainbolt: Olympics  Record 

Beijing 2008
100 🏅
200 🏅
4x100 🏅

London 2012
100 🏅
200 🏅
4x100 🏅

#Rio2016  
100 🏅 
200 🏅 
4x100 🏅

#Gold","[{u'indices': [101, 109], u'text': u'Rio2016'}, {u'indices': [135, 140], u'text': u'Gold'}]",
766795134503641088,Kaka,Phenomenon @michaelphelps you are always welcome!! #amazingolympics,"[{u'indices': [51, 67], u'text': u'amazingolympics'}]",
764869183922434048,Kaka,@Kalyani__5 thank you!,[],764869013889359872
744721990234292224,Kaka,Great game! Congratulations @cavs 👏🏼👏🏼👏🏼,[],
744623256372649985,Kaka,Happy Father's Day!!,[],
743246497278468096,Kaka,@dkotscho2 I've got it! I just don't have the cara de pau to trick my family!,[],743245236059570176
743244668482224128,Kaka,@dkotscho2 cheater!,[],743243122067406848
742014845432832000,Kaka,"RT @orlandohealth: While we are prepared with enough blood stock, we always appreciate donations. We encourage potential donors to contact…",[],
742014442016243713,Kaka,God bless our city specially the families that have lost loved ones #PrayForOrlando,"[{u'indices': [68, 83], u'text': u'PrayForOrlando'}]",
738962914879672320,Kaka,Rest in peace @MuhammadAli #rip,"[{u'indices': [27, 31], u'text': u'rip'}]",
737069456069824516,Kaka,Arriving at the stadium for our last friendly game before the Copa Centenario. Today Brazil x Panama!,[],
720478650412482561,Kaka,What a privilege! I saw Kobe play. #ThankYouKobe 👏🏼👏🏼👏🏼👏🏼👏🏼,"[{u'indices': [35, 48], u'text': u'ThankYouKobe'}]",
720475513198915586,Kaka,60 points?? Go for it man!! @kobebryant #ThankYouKobe,"[{u'indices': [40, 53], u'text': u'ThankYouKobe'}]",
720441924142919680,Kaka,Changing channel for kobe's last game now!! #ThankYouKobe,"[{u'indices': [44, 57], u'text': u'ThankYouKobe'}]",
720432678961553408,Kaka,Gollllll !!! 2x0 Calleri! #VamosSaoPaulo,"[{u'indices': [26, 40], u'text': u'VamosSaoPaulo'}]",
720079952616505344,Kaka,"RT @CSLewisDaily: God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a d…",[],
719300224427159552,Kaka,Congrats @Danny_Willett 🏌 #Masters #GreenJacket,"[{u'indices': [26, 34], u'text': u'Masters'}, {u'indices': [35, 47], u'text': u'GreenJacket'}]",
718551597974962176,Kaka,On my way to the stadium! At 7pm et @PhilaUnion vs @OrlandoCitySC #golions,"[{u'indices': [66, 74], u'text': u'golions'}]",
717861754710175745,Kaka,Congratulations @mls! 20 years of Major Soccer. Proud to be part of it.,[],
717591007987154944,Kaka,RT @crossthelinex_: We've just have the privilege of interviewing @OrlandoCitySC captain and Brazil legend @KAKA. #IBelongToJesus https://t…,"[{u'indices': [114, 129], u'text': u'IBelongToJesus'}]",
717192577011814401,Kaka,That's unbelievable!!! 👏🏼👏🏼👏🏼 #MarchMadness #NationalChampionship #FinalFour,"[{u'indices': [30, 43], u'text': u'MarchMadness'}, {u'indices': [44, 65], u'text': u'NationalChampionship'}, {u'indices': [66, 76], u'text': u'FinalFour'}]",
716114127303913472,Kaka,"@KieronDuffin a lot of friends said that too, but I liked it!",[],716113561492332545
716112370209263617,Kaka,@hushusnana yes! But I think he will come back!,[],716112244581408768
716110120741183489,Kaka,The end! I really liked it! 👏🏼👏🏼👏🏼 #BatmanvSuperman,"[{u'indices': [35, 51], u'text': u'BatmanvSuperman'}]",
716065277553876992,Kaka,"I'm getting into the movies to watch it now! I'll get back later to leave my impressions, see ya!",[],
716059444258299904,Kaka,Who have already seen to Batman vs Superman? Liked it? 👍🏼👎🏼,[],
715737970259714050,Kaka,"RT @CSLewisDaily: “God can't give us peace and happiness apart from Himself because there is no such thing.” 
~ #CSLewis","[{u'indices': [112, 120], u'text': u'CSLewis'}]",
713780734549471232,Kaka,"RT @CSLewisDaily: “Everyone thinks forgiveness is a lovely idea until he has something to forgive.” 
~ #CSLewis | #MereChristianity","[{u'indices': [103, 111], u'text': u'CSLewis'}, {u'indices': [114, 131], u'text': u'MereChristianity'}]",
712705560840421377,Kaka,@dkotscho2 midfielder player always previews a good move! 😂,[],712701751292477440
712366453228498944,Kaka,@murderfxcker praying too! 🙏🏼,[],712359356998819840
712366236689104897,Kaka,@ZaySha1D thanks! Good luck,[],712360122144534528
712365923815006209,Kaka,@vAbdulazizM a lot!,[],712362912011198469
712359070305542146,Kaka,Another life and career moment that we'll course together! Welcome @J_Baptista81 to @OrlandoCitySC #thebeast #labestia,"[{u'indices': [99, 108], u'text': u'thebeast'}, {u'indices': [109, 118], u'text': u'labestia'}]",
710995278631936000,Kaka,Thank you guys! It was nice watch the game with you.. 😘/// Valeu galera. Muito bom assistir o jogo com vocês! 😘,[],
710994111692673024,Kaka,Field goal!!! 😂😂😂🏈,[],
710992807725506560,Kaka,How easy is to watch from outside! #NYCvORL,"[{u'indices': [35, 43], u'text': u'NYCvORL'}]",
710991117332905984,Kaka,So close @PedroRibeiro15!! #NYCvORL,"[{u'indices': [27, 35], u'text': u'NYCvORL'}]",
710989188926152704,Kaka,Thank you pole!😅,[],
710988532286889984,Kaka,"RT @OrlandoCitySC: 70' Orlando City substitution: Carlos Rivas makes his first appearance of 2016. He's on for Winter. 

#NYCvORL | 0-1","[{u'indices': [121, 129], u'text': u'NYCvORL'}]",
710988216086753280,Kaka,@SeanQuinnSports probably! 😂,[],710988110721449984
710986303362433025,Kaka,Kevinnnnnnnnnnn !!!! I'll kill you tomorrow bro 😂 #NYCvORL,"[{u'indices': [50, 58], u'text': u'NYCvORL'}]",
710985636392660992,Kaka,What a save Joe! 👏🏼👏🏼👏🏼👏🏼,[],
710978259064852480,Kaka,End of the first half! @NYCFC 0x1 @OrlandoCitySC /// Fim do primeiro tempo @NYCFC 0x1 @OrlandoCitySC #NYCvORL,"[{u'indices': [101, 109], u'text': u'NYCvORL'}]",
710970582960099328,Kaka,Great save Joe!,[],
710969846448721920,Kaka,@nigeoc me too!,[],710969263977328640
710604206877630464,Kaka,@annaYesi much better! I'll be back soon,[],710604044620836864
710603609931702272,Kaka,@daniii1012 I wanna go back soon!,[],710603500636340224
710603502804930561,Kaka,@elsy__ you really have to learn Portuguese! 😂,[],710603232234483712
710602211223605248,Kaka,@hattan_jedda thank you!!!,[],710602096840720385
706983149297868800,Kaka,@Haticakcalioglu I'm fine and you?,[],706982556214947841
