id,posted_by,text,hashtags,in_reply_to_status_id
800373426531598336,Amitabh Bachchan,RT @virenrasquinha: In the 30 year history of China Open only 3 non Chinese have won it. 2 of them are @NSaina and @Pvsindhu1. Proud to sup…,[],
800372847013019649,Amitabh Bachchan,T 2448 - PV Sindhu wins the China Open Badminton championship  .. CONGRATULATIONS .. INDIA THE BEST !! YOU MADE US PROUD Pusarla .. YEAAH !!,[],
800062369472745472,Amitabh Bachchan,@sandeeptsinghvi Deetya .. happy birthday .. love,[],800050780589985793
800061606868586499,Amitabh Bachchan,"RT @MosesSapir: @SrBachchan Amitabh ji.Aamir. Salman,SriDevi ji,Neelam,during 'Jumma Chumma' concert~Aamir &amp; Salman were newcomers https://…",[],
800061541672357889,Amitabh Bachchan,"RT @MosesSapir: @SrBachchan Amitabh Bachchan on the stage in his early live concert, Performing ""Main Hoon Don"" 1982 &amp; today 2016 performin…",[],
799862291810295808,Amitabh Bachchan,RT @BachchanJrFC: His childlike demeanour when he's around children is just ❤. RT if this pic of @juniorbachchan made your day! #TeamB http…,"[{u'indices': [128, 134], u'text': u'TeamB'}]",
799850798389673986,Amitabh Bachchan,RT @SrBachchan: T 2447 - OK .. so fine .. have replied some on Twitter and now its time to trundle down to BKC for the Global Citizen conce…,[],
799850719327100928,Amitabh Bachchan,@BokareVishal @ganeshlahoti here goes love and more,[],799849954147762176
799849369881038849,Amitabh Bachchan,@mayursejpal like this .. and dont ever cll me all those epithets .. i do not believe in them and neither should you,[],799846875524435968
799849080134348800,Amitabh Bachchan,@Erlika yes fine,[],799846888656642049
799849005605732354,Amitabh Bachchan,@calamur rest dusted,[],799846912836845568
799848589539168256,Amitabh Bachchan,@MOUSUMI_EF love,[],799846943467835392
799848413776855041,Amitabh Bachchan,@BeejalBhatt the scene in Mai Aazad Hoon .. shot in a stadium in Goa .. audience participated .. so emotional ..,[],799846952166969344
799848092459614208,Amitabh Bachchan,@KANKANAC thank you i will,[],799847000875245568
799847828906385408,Amitabh Bachchan,@BeejalBhatt the gracious Madhavi at an event for charity in London,[],799847051093753858
799847699289772032,Amitabh Bachchan,@addzz8 love to you,[],799847050095501312
799847560965812224,Amitabh Bachchan,@madhuriac_786 anytime,[],799847065576566784
799847485472579584,Amitabh Bachchan,@mitenlapsiya beautiful ..,[],799847075437420546
799847051131392000,Amitabh Bachchan,@zafarkeymaker love to you,[],799845655803899904
799847012883496960,Amitabh Bachchan,@BeejalBhatt me too,[],799845660723998722
