id,posted_by,text,hashtags,in_reply_to_status_id
799703052546703360,Facebook,"@jamiesmith2617 That's great to hear, Jamie! Hope you have a great weekend. :) -KW",[],799702032386924544
799701914879492096,Facebook,@jamiesmith2617 Hi Jamie. Others are reporting something similar. Please sit tight while our team reviews this issue! -KW,[],799700118333259778
799701068028538884,Facebook,@alicexlizabeth Thanks for bringing this to our attention. We'll let our team know. -KW,[],799697630762647552
799696197413900288,Facebook,@alicexlizabeth Hi Alice. Have you tried reinstalling the app? Let us know if that helps. -KW,[],799695523896651776
799695960175742976,Facebook,@licenia Hey Licenia. We're sorry to hear this. Are you also experiencing this problem on desktop? -KW,[],
799693997052563456,Facebook,"@lpola4 Hi there, thanks for reaching out. What can we help you with today? -KW",[],799689564201721856
799693041913237504,Facebook,@fonziewonzie Hey Afonso. Can you let us know if you're experiencing this issue on mobile or desktop? -KW,[],799692347667644416
799667563793973248,Facebook,@annajanesearle Hi there. We can confirm that this came from us. Thanks for checking in! :) -AO,[],799610608287092736
799665872906362881,Facebook,@jovalley Hi Jonathan. Can you please try reinstalling the app and making sure you have the latest version? Thanks. -AO,[],799665265399201793
799382550065987584,Facebook,@UnTino Thanks! Can you please try clearing your cookies and cache? -AO,[],799381890868199424
799381794076377088,Facebook,@sarahgxoxo Hi Sarah. Can you provide more detail on the issue you're reporting? Thanks. -AO,[],799380149204459520
799381237773303808,Facebook,"@UnTino Thanks for reaching out, Tino. How long have you been experiencing this issue? -AO",[],799380537441800193
798992365117579264,Facebook,@nikkbetts Hi Nikki. Are you a Page editor or admin? -AO,[],798991810735390721
798990092937240576,Facebook,@JohnDaleJr Thanks for the follow up. Are you receiving these notifications via email or text? -AO,[],798988439756517376
798988090027089920,Facebook,@JohnDaleJr Hi Scotty. How can we be of assistance? -AO,[],798984669580722176
798649670201266176,Facebook,@AndScott513 Hi Andy. Can you please try reinstalling the app? Let us know if that helps. -AO,[],798648330586902528
798630471231893504,Facebook,@BerkeleyLawNews Thanks for reporting this to our team. We appreciate your patience while they look into this issue. -AO,[],798614424185487360
