id,posted_by,text,hashtags,in_reply_to_status_id
800443637184086017,Google,"RT @google: Puppies, family, fresh air, weekends, a stranger holding the door. From big to small, tell us all the things you're #ThankfulFo…",[],
799746955530342400,Google,@KarmenNaidoo Got it. Let's see if we can help. Look out for a DM with next steps.,[],799734076257222656
799746868825747456,Google,@shad3941 Got it. Let's see if we can help. Look out for a DM with next steps.,[],799734181702070272
799746730564665344,Google,@itsKapoow Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799731686778880002
799746592383254528,Google,@mikeacrosby1985 Hmm. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],799728974649761794
799741645638008832,Google,@kabzmc Hi Joseph. We'd like to help. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],799698793092378624
799741375218647044,Google,@SimeoMusonda Hi Simeo. Let's see what we can do to help. Look out for a DM with next steps.,[],799693176760102912
799741143613325313,Google,"@KevenJoslin Hi Kevin. Just to confirm, are you able to sign into your Google account on another device/browser? Let us know.",[],799687807505559552
799739674914934784,Google,"@JordanTHerrera Uh oh. Just to confirm, are you still able to sign into your account? Let us know.",[],799642305057656832
799739335989936129,Google,"@MaxiWittekind Hi there. Did you receive any message stating why? If so, what did the message say?",[],799617251670458368
799738433564446720,Google,@imAmanSaxena Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799567137102643201
799738004931809280,Google,@RLaucht Got it. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799525491195727873
799737897876385792,Google,@HelpSavePat Got it. Let's see if we can help. Look out for a DM with next steps.,[],799506300510072832
799736211229339648,Google,"@tomjoyphoto Hi Tom. Just to confirm, have you tried rating the restaurant in Maps? Let us know if that works.",[],791939941362114561
799735331532787713,Google,"@DarkLightGamin Uh oh. Just to confirm, are you still able to sign into your account?",[],799399333355487232
799734695860781057,Google,"@alfinzuhry Uh oh. Just to confirm, are you still able to sign into your account?",[],799455598622359552
799734348983504897,Google,@amichetti You're welcome! Reach out if you have any Google account questions in the future. We're just a tweet away.,[],799453674774740993
799734245736398848,Google,@penguinkayla Got it. Let's see what we can do to help. Please follow us &amp; let us know when you have so we can share next steps through DM.,[],799451904682102788
799733183784816641,Google,@Noormanibraves Hmm. Let's see what we can do to help. Look out for a DM with next steps.,[],799432880636264448
799730813948411904,Google,"@rometheuniverse Hi there. We'd like to help. Just to confirm, are you still unable to sign into your account? Let us know.",[],799371437572112384
799730084848500736,Google,@scottifydotcom Hi Scott. What's going on with your Google account? Tell us more. We'll see what we can do to help.,[],799309332584300544
799729849623580672,Google,@Trap_ExP Got it. Let's see if we can help. Look out for a DM with next steps.,[],799277270363836416
799726281642377216,Google,"@izitjustme Mind if we jump in? Just to confirm, are you still able to sign into your Google account? Let us know.",[],798452620339847168
799438584352804865,Google,@jolandafederica Hi Federica. Let's see if we can help. Please follow us &amp; let us know when you have so we can share next steps through DM.,[],798704864675201024
799438318056468480,Google,"@m4hdh1 Understood. Just to confirm, are you able to sign into your Google account from another device/browser? Keep us posted.",[],799374848699101184
799438252281307137,Google,"@DavidALeigh Hi David. Just to confirm, are you still able to sign into your account? Let us know.",[],799371735741120512
799437816484728832,Google,@YanTeague Hi there. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],799342525576282112
799437736222593024,Google,@PSOKwama Hi there. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],799331950431535104
799437001401520128,Google,@KarmenNaidoo Hi Karmen. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],799273202186878976
799436667245490180,Google,@mark1796 Hi Mark. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799222659410055169
799436603064102912,Google,@KirstyP3B Got it. Let's see if we can help. Look out for a DM with next steps.,[],799219534695632896
799432878354415616,Google,@JoshK23435576 Got it. Let's see if we can help. Look out for a DM with next steps.,[],799149596836556801
799432299326697472,Google,@shesoamerican Hi Miranda. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799108700761899008
799432193290502144,Google,@Ben_amex Hi Ben. Are you getting a specific error message? Give us the exact wording &amp; we'll see if we can help.,[],799281238741659648
799432056489082881,Google,@felisakana No worries! Feel free to reach out to us if you ever have any account questions in the future.,[],799100158776487938
799431745858863104,Google,"@mflores2025 Uh oh. If he sends us a tweet, we'll see what we can do to help.",[],799081466856620045
799431018344312832,Google,@kieran01987 Hi Kieran. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799026682124468225
799430843018125312,Google,@FamousQuiz1 Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799024963743166464
799429162117148672,Google,@alh3rrasi Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798945291051421697
799429036393041921,Google,"@RonniebonRBLX Hmm. Just to confirm, are you still able to sign into your Google account? Let us know.",[],798937437502177280
799428900220731394,Google,"@Perelka_L Uh oh. Just to confirm, are you still able to sign into your account?",[],798929029319495684
799428664807014400,Google,@2DZ__ Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],799237478897111040
799428033555943424,Google,@JohnyBlaze_ Hi Melly. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798913655580430337
799366493502918656,Google,@BBandGT Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798701220290498560
799366056167014400,Google,@ssamantha_anne Hi Sam. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798626870870810624
799365849236860928,Google,"@JusTDan_aA Got it. Just to confirm, are you able to sign into your account now? Let us know.",[],798373365291618304
799059317441839105,Google,@felisakana Hi there. We'd like to help. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798683440245719040
799058935336542208,Google,@rubenspiga123 Hi Ruben. Let's see what we can do help. Please follow us &amp; let us know when you have so we can share next steps through DM.,[],798880521241710592
799058535606788096,Google,"@dejavuprod1 Uh oh. Just to confirm, are you still able to sign into your Google account? Let us know. We'll see what we can do to help.",[],798825895196667905
799058247529414657,Google,@skrux33 Hmm. Let's see if we can help. Look out for a DM with next steps.,[],798970183901708288
799054266795180046,Google,"@belizthomas1 Hi Bailey. We'd like to help. Just to confirm, are you still able to sign into your Google account? Let us know.",[],798715358261768192
799046416270245889,Google,@valejandrog Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798700685080588290
799043055668051971,Google,@ToeVenomGaming Hmm. Let's see if we can help. Look out for a DM with next steps.,[],798641836822765568
799030560865845248,Google,@NeilJordan_14 Got it. Let's see if we can help. Look out for a DM with next steps.,[],798626738699980800
799030351557513216,Google,@Yuvik1100G Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798622438909091840
799029645521940480,Google,@rydaryyyy Got it. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798620453954875393
799029417179828226,Google,@david0921 Hmm. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798617294289047552
799029359197691905,Google,@luisdortiz Understood. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798616723452633088
799005496816599040,Google,"@muathime77 Hi there. Just to confirm, are you able to sign into your Google account? Let us know.",[],798598308981719040
799005093819535361,Google,@JoshK23435576 Hi Josh. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798460817754718208
798699346191675392,Google,@Garethbale67 Hi Aditya. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798604930206416896
798699244207140864,Google,@SEMSarahBoyd Hi Sarah. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798536544692924416
798699071020081152,Google,@leniibelle Hi there. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798510851867054080
798698362249809924,Google,@sabreSFan08 Got it. Let's see if we can help. Look out for a DM with next steps.,[],798612527223599105
798698314489364480,Google,@Jeff_Amaral88 Hi Jeff. Are you getting a specific error message? Give us the exact wording &amp; we'll look into it.,[],798609597879631872
798698091427856384,Google,"@andreamw Hi Andrea. Just to confirm, are you able to sign into your account now? Let us know.",[],798592699083399172
798697427888959489,Google,@IamSwansey Hi there. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,[],798513357355712512
