id,posted_by,text,hashtags,in_reply_to_status_id
800282016109342721,Shah Rukh Khan,"Thx @Hughcevans and @glblctznIN for bringing issues of Gender Equality Quality Education,Water &amp; Sanitation to the fore.Thx for including me",[],
799541875267031042,Shah Rukh Khan,All the best to the whole team of Tum Bin 2 &amp; to my friend @anubhavsinha May this love story receive lots of love.,[],
799539999431675904,Shah Rukh Khan,RT @aliaa08: Trying to touch the chords of your heart. Do you think he is the one? Catch our next song #TuHiHai here: https://t.co/7nqHpdqj…,"[{u'indices': [103, 111], u'text': u'TuHiHai'}]",
799264708398194689,Shah Rukh Khan,@IAmAlanWalker thank u my man. Whenever u r free let me know will drop in and give you a hug. Have a good one &amp; thx for the hoodie like.,[],
798456725787418624,Shah Rukh Khan,"RT @sonymusicindia: Tick tock goes the clock! Are you ready for #DearZindagiAlbum to go live?
Stay tuned! @RedChilliesEnt @ItsAmitTrivedi @…","[{u'indices': [64, 81], u'text': u'DearZindagiAlbum'}]",
796383361778388993,Shah Rukh Khan,Farsighted. Extremely smart. And not politically motivated. Will bring such a positive change for Indian economy. Great move @narendramodi,[],
795254959902076928,Shah Rukh Khan,"Congrats @HyundaiIndia on the highest ever sales, breaking 50,000 sales mark. Proud 2 bea part of the Hyundai family.Sum ‘Rishtas’ r forever",[],
792140861291106304,Shah Rukh Khan,Been some hectic days since I have got back from shoot. Work seems more relaxed than days off!! Hope sleep takes over for a whole day.,[],
790648181474234368,Shah Rukh Khan,Oops... The flip side of technology! First there were pocket calls. And now pocket tweets! Was a mistake...,[],
790540109825310720,Shah Rukh Khan,@aliaa08 @gauris oh oh me being an early sleeper will always miss it then. U know how I am early to bed early to rise…makes me so nice types,[],790512002300911620
790539327671529472,Shah Rukh Khan,@kiranshaw congratulations my friend.,[],
790407371503742976,Shah Rukh Khan,RT @RedChilliesEnt: Take time out and enjoy the small joys of life. Presenting the new poster. #DearZindagiTake2 #ComingSoon @aliaa08 @iams…,"[{u'indices': [95, 112], u'text': u'DearZindagiTake2'}, {u'indices': [113, 124], u'text': u'ComingSoon'}]",
789856870798389248,Shah Rukh Khan,"Kabaddi…kabaddi…kabaddi. We are home. Congratulations India. Third title on the trot! Well done Anup, Ajay &amp; the whole team. Champions!",[],
789613415820066816,Shah Rukh Khan,So nice when ur small little gestures r appreciated…makes a big difference. Small is really big at times…,[],
788231387816009728,Shah Rukh Khan,@AnushkaSharma wrapped the schedule of film  allegedly called the Ring. Will miss her lots…kya karein…‘Aye Dil Hai Mushkil’. Thx for being u,[],
787871350052487169,Shah Rukh Khan,@sonunigam love u always. Like I always say…ur voice makes me look good and feel good. Thanx my superstar. Be well &amp; take care of the kneeS,[],787846520095768576
787621696111075332,Shah Rukh Khan,@udaychopra thank God you said it. Was dying to hear you utter this word that encompasses so much. Blah rite back at you…!,[],787617985233981441
787413984588816384,Shah Rukh Khan,@karanjohar Of cool chains &amp; friendship bands.Of lov  so uncomplicated all u had to say was kuch kuch hota hai.v’ve come a long way baby.Thx,[],787384426510577669
786867878683369472,Shah Rukh Khan,@GautamGambhir happy birthday Captain. Have a good one with ur beautiful family &amp; ur lovely daughter. See u soon.,[],
