id,posted_by,text,hashtags,in_reply_to_status_id
800053222723317760,KATY PERRY,". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric?
#thanksgivingdayclapback","[{u'indices': [102, 126], u'text': u'thanksgivingdayclapback'}]",799974635274194947
799890791212560384,KATY PERRY,Caught a big one this week 🎣 ...,[],
799774990509838336,KATY PERRY,RT @SenWarren: Registering &amp; tracking Americans based on race or religion is idiotic. Disgusting. Unconstitutional. And it’s a recruiting b…,[],
799025553546166272,KATY PERRY,Operate in the light.,[],
798069156071424001,KATY PERRY,At midnight we MANIFEST ✨🌚✨,[],
796926045718880256,KATY PERRY,Lets also work on the hearts and minds of this country and that is how real change will begin.,[],
796925444633133056,KATY PERRY,"Remember to take care of your mental health. Talk with counselors/therapists/ur tribe. Lean on your friends, don't stop communicating.",[],
796601752237682688,KATY PERRY,🙏🏼🇺🇸PEACEFULLY PROTEST🇺🇸🙏🏼,[],
796395782974935040,KATY PERRY,Fight for what is RIGHT.,[],
796280335986229248,KATY PERRY,RT @getglucky: Lets put the evolution in revolution ♥️,[],
796279919085060096,KATY PERRY,RT @iJesseWilliams: Be tired. Be mad. Be honest &amp; concerned. But be not afraid. Rest up. Be safe. Come together. Construct. Know your surro…,[],
796265040613675008,KATY PERRY,Do not sit still. Do not weep. MOVE. We are not a nation that will let HATE lead us.,[],
796264321726685184,KATY PERRY,WE WILL NEVER BE SILENCED. #LOVETRUMPSHATE,"[{u'indices': [27, 42], u'text': u'LOVETRUMPSHATE'}]",
796263564600373248,KATY PERRY,POWER TO THE PEOPLE,[],
796261802740944898,KATY PERRY,RISE UP,[],
796227455082233858,KATY PERRY,THE REVOLUTION IS COMING.,[],
796148586086092800,KATY PERRY,Gonna cry my false eye lashes off tonight. ❤️🙏🏼🇺🇸,[],
796052825830789120,KATY PERRY,RT @shannonwoodward: Everyone pls wear appropriate footwear for treading on the remnants of the glass ceiling this evening.,[],
795838264188030978,KATY PERRY,If hell had a smell it would be used dental floss and earring backs. 😷,[],
795447316786323458,KATY PERRY,"Want niche? Inside jokes? Mega Meta? Think ur the only 1 thinking the demented way ur thinking? Go see ""Oh Hello"" on Broadway &amp; find ur ppl.",[],
795164847990153216,KATY PERRY,"RT @voguemagazine: With the words “I’m with Madame President” emblazoned on the back of Perry’s cape, the message was loud and clear. https…",[],
793579626698342400,KATY PERRY,AYE! 📲 Text ROAR to 47246 to score free 🎟 to see me &amp; @HillaryClinton this Saturday in PHILLY! (I'll be the one singing 🎤) #LoveTrumpsHate❤️,"[{u'indices': [127, 142], u'text': u'LoveTrumpsHate'}]",
793192662602018818,KATY PERRY,Welp. The airline lost my luggage so I guess I'll just wear my tracksuit for Halloween 💁🏻 Now THAT'S scary. 🎃,[],
793150996813901824,KATY PERRY,@PrismsPerry like I work on myself so I can be better for me and you ❤️,[],793150440175271936
793150645045977088,KATY PERRY,@perrysmic not really but sometimes I don't know my own strength 😔,[],793150184557469696
793150479350034432,KATY PERRY,@focusonreid great get your Pantone book out,[],793150161358823428
791153490634694660,KATY PERRY,just went in the pit @kanyewest for my bday. 32 is lookin ⬆️,[],
790837391854448640,KATY PERRY,@wtfkates yeah but 32 is 23 backwards so 🍷,[],790836516406820864
790836113191469056,KATY PERRY,@sella_sandra also this is real and not an edit I can tell by the icing I'm so proud of u,[],790835287601451009
790835892445327360,KATY PERRY,@greg_wells go to bed dad,[],790835269930852352
790835471542734848,KATY PERRY,@KatyCute_  nugget❗️,[],790834758947340290
790830724836229120,KATY PERRY,@cynthialovely you're clever,[],790812675550748676
790084008562528256,KATY PERRY,@radiantjareau so qt,[],790082793136984065
790083916052983809,KATY PERRY,@KatyCute_ this edit lol,[],790082465461313536
790081234164649984,KATY PERRY,@sella_sandra my birthdays soon💅🏼,[],790080316488638464
790081084469968896,KATY PERRY,@KpCatt @HillaryClinton next level,[],790080291377451009
790079636415930369,KATY PERRY,@perrysoldier Welcs ho,[],790077918462423040
790078210708942848,KATY PERRY,@lillysgomez @lucycowell14 not for long👋🏼,[],790077459886518272
790077765609361409,KATY PERRY,"@perrysoldier make fun of me now, thank me later 💅🏼",[],790077085121339392
790077196266123264,KATY PERRY,@katycatSWEDEN album artwork,[],790076639703162880
790076822453047296,KATY PERRY,@perryicecream always in October,[],790066709457727488
790076517002850304,KATY PERRY,@johnlordperry tears of my doubters,[],790052632798765056
790015166549069824,KATY PERRY,"RT @philkimtweets: .@katyperry is out canvassing voters &amp; you can too! Get involved, text NV to 47246 ! cc: @TaraBrosnan @wangersays @ItsRa…",[],
790013811390504961,KATY PERRY,@xamyrosex knock knock,[],790002224214573056
790000324861841408,KATY PERRY,@wtvrlara omg let me live I'm out preaching the good news bb,[],789998586624897024
789999599645622272,KATY PERRY,@katycatwendy I had to get relatable bb  💁🏻,[],789996994890600448
789600255486464001,KATY PERRY,I love when everything starts to align for transformation time...✨,[],
789331031874600961,KATY PERRY,@beatsbydre bravo on this timing 🙌🏼,[],789159738294480896
789236211302838272,KATY PERRY,RT @lenadunham: RT if you're a nasty woman and it's made your life a freakin' pleasure,[],
788975702754275328,KATY PERRY,MAKE LYRICS GREAT AGAIN❗️cc Max Martin &amp; Shellback,[],
788946808676294660,KATY PERRY,RT @AnaGasteyer: RT if you are a Nasty Woman.,[],
788935141435453440,KATY PERRY,Ok back to the studio for me. 2017 is gonna tight af. 🔥,[],
788933993294991360,KATY PERRY,Where's the after party🍷 @chelseahandler @sallykohn @SarahKSilverman @BetteMidler @shannonwoodward @getglucky,[],
788933022548500480,KATY PERRY,@shannonwoodward he didn't go down to the people,[],788932096622338048
788932784572116992,KATY PERRY,"RT @HillaryClinton: ""Nobody respects women more than me."" —Donald Trump earlier tonight

""Such a nasty woman."" —Donald Trump just now #Deba…",[],
788931555695603712,KATY PERRY,Someone count how many times he is clenching his jaw as she speaks. Crazy. #debates,"[{u'indices': [75, 83], u'text': u'debates'}]",
788930738364174336,KATY PERRY,RT @katyperry: RT if you're already preparing a seat at the table for @HillaryClinton 🙌🏼,[],
788930436206501889,KATY PERRY,RT if you're already preparing a seat at the table for @HillaryClinton 🙌🏼,[],
788928959710801922,KATY PERRY,"RT @scottsimonsWVLA: Is ""Lots of luck, Hillary!"" a Freudian acknowledgement of his impending loss? #debatenight","[{u'indices': [99, 111], u'text': u'debatenight'}]",
788928239649435648,KATY PERRY,"RT @sallykohn: ""You are the most dangerous person to run for president in history."" - @HillaryClinton quoting @BernieSanders 

#debatenight…","[{u'indices': [127, 139], u'text': u'debatenight'}]",
788928105570115585,KATY PERRY,@shannonwoodward im sleep watching,[],788927361286742016
788927081925095425,KATY PERRY,"RT @bijanstephen: trump is playing tag, hillary is playing chess",[],
788925305180139522,KATY PERRY,RT @shannonwoodward: This guy wants to destroy democracy. He hates America.,[],
788922482531061760,KATY PERRY,RT @chelseahandler: The only person with more respect for women than Donald Trump is Bill Cosby. #debate,"[{u'indices': [97, 104], u'text': u'debate'}]",
788922045299953664,KATY PERRY,CELEBRATE OUR DIVERSITY AND LIFT PEOPLE UP🙏🏼 @HillaryClinton,[],
788921576842338304,KATY PERRY,RT @JackGarratt: his short term memory is really good. I mean he was able to remember the word 'debunked' from when Hillary said it a minut…,[],
788920473329422336,KATY PERRY,THAT TIMELINE 🎤⤵️🔥 @HillaryClinton,[],
788920344350306304,KATY PERRY,RT @shannonwoodward: I don't think he knows what the jobs of Senator and Secretary of State actually entail.,[],
788918282346639360,KATY PERRY,@rejectedjokes this was worth the double tweet,[],788917749972017152
788915688169549824,KATY PERRY,OMG THE PUPPET MEMES #DEBATES IM SCREAMKNG,"[{u'indices': [21, 29], u'text': u'DEBATES'}]",
788914960298446848,KATY PERRY,RT @getglucky: Notorious B.I.G.L.Y,[],
788912299956318210,KATY PERRY,"RT @sallykohn: ""I will defend women's rights to make their own health care decisions."" - @HillaryClinton 

THANK YOU!!!  #ImWithHer 
#debat…","[{u'indices': [121, 131], u'text': u'ImWithHer'}]",
788911631921061888,KATY PERRY,YES I LOVE THAT WE ARE GETTING INTO REAL ISSUES EVEN UNCOMFORTABLE ONES❗️#debates,[],
788910778858377217,KATY PERRY,"RT @SarahKSilverman: ""The constitution the way it was meant"" according to a dood named Tommy Jefferson it was meant to absolutely change wi…",[],
788910433730080769,KATY PERRY,@SarahKSilverman man? lol. baby!,[],788910148429295616
788910220147777536,KATY PERRY,@jonlovett tru. Baby's back.,[],788910122101673985
788910168226402305,KATY PERRY,"RT @jonlovett: Hillary: here's what I think about the Supreme Court
Trump: here's what the Supreme Court thinks about me",[],
788909820761952256,KATY PERRY,I love when she lays out the rules like the boss she is #debates,"[{u'indices': [56, 64], u'text': u'debates'}]",
788909027539365888,KATY PERRY,MY WHITE ANGEL @HillaryClinton,[],
788908712526094337,KATY PERRY,@rejectedjokes why didn't we plan an after party,[],788908523706945536
788908501649154048,KATY PERRY,@chelseahandler I'm gonna miss these online hangs,[],788908061838630912
788904297085874181,KATY PERRY,Just got out of therapy and had a mindful meditation. I AM READY FOR THE #DEBATES,"[{u'indices': [73, 81], u'text': u'DEBATES'}]",
788570020745924608,KATY PERRY,"S/O to my A&amp;R gal @getglucky for this defining quote ""You can be too arty and lose your audience or you can be too charty and lose your art""",[],
788569305109573632,KATY PERRY,@yungskeeter so niche and I like it,[],788560975515361280
787556104158883841,KATY PERRY,I hope there are side by side graves for both steel drums and chokers in 2k16,[],
786838741834924032,KATY PERRY,Throwing rose petals at the club. 🌹,[],
785336350660698113,KATY PERRY,There's a few brains I would like to see science dissect after full utilization and @Sia's should be one of them. ILYSM ❤️,[],
785311931557027840,KATY PERRY,"Finally, last debate is OCT 19. FIGURE OUT A WAY TO COVER MORE ISSUES. #debate","[{u'indices': [71, 78], u'text': u'debate'}]",
785309644507885568,KATY PERRY,Twitter world: it's spelled Hillary with 2 L's (but I kinda have no room to talk re typos🙄),[],
785308696381227008,KATY PERRY,I'm so glad for #earlyvoting #debates,"[{u'indices': [16, 28], u'text': u'earlyvoting'}, {u'indices': [29, 37], u'text': u'debates'}]",
785308430223355904,KATY PERRY,@BetteMidler I'm coming over with a bottle,[],785308158482849793
785308373843451905,KATY PERRY,Make #karlbecker #1 TT if you have a ❤️,"[{u'indices': [5, 16], u'text': u'karlbecker'}]",
785307651211005952,KATY PERRY,RT @iamrashidajones: Karl Becker FTW!!!!,[],
785307481320792064,KATY PERRY,MY HEART GOES ON,[],
785305953683906560,KATY PERRY,. @RonanFarrow measly numbers 💅🏼,[],785304711683567617
785305540167512064,KATY PERRY,RT @yungskeeter: unproud :(,[],
785303463538233345,KATY PERRY,RT @jonlovett: Donald Trump is in the dream where has a final in a class he forgot he was taking.,[],
785302929771159556,KATY PERRY,@RonanFarrow GIF u kno,[],785302455491768320
785302566217187328,KATY PERRY,"RT @birbigs: ""We haven't spoken and I disagree"" -Donald Trump re: Syria and the policy of his OWN RUNNING MATE #debate","[{u'indices': [111, 118], u'text': u'debate'}]",
785302455491768320,KATY PERRY,@RonanFarrow this is what the meme was created for 🙌🏼,[],785301517570023424
785302140944166913,KATY PERRY,"RT @itskatcombs: Trump writing a term paper:

Sources Cited:
1. You Know It
2. I know It
3. Everybody Knows It",[],
785300948256034816,KATY PERRY,"RT @realDonaldTrump: Do you think Putin will be going to The Miss Universe Pageant in November in Moscow - if so, will he become my new bes…",[],
785300628507463680,KATY PERRY,RT @SarahKSilverman: and Donald what were you doing during this time? #debate,"[{u'indices': [70, 77], u'text': u'debate'}]",
785299468945981441,KATY PERRY,I notice these are not built in mics tonight...PLEASE DROP THE MIC TONIGHT HILL! 🎤⤵️ @HillaryClinton #DROPTHEMICHRC #debates,"[{u'indices': [101, 115], u'text': u'DROPTHEMICHRC'}, {u'indices': [116, 124], u'text': u'debates'}]",
785297647498166273,KATY PERRY,"RT @rejectedjokes: ""What the fuck is the post office?"" - millennials #debate","[{u'indices': [69, 76], u'text': u'debate'}]",
785297184107421700,KATY PERRY,"RT @sallykohn: I'm not worried about dangerous people coming to America. I'm worried about the dangerous man already in this country, runni…",[],
785296490617004032,KATY PERRY,"*teeth, you get it.",[],
785295223555559424,KATY PERRY,RT IF YOU ARE YELLING AT THE TV RIGHT NOW. #debates,"[{u'indices': [43, 51], u'text': u'debates'}]",
785294633232396288,KATY PERRY,RT @getglucky: I WOULD GIVE ANYTHING FOR YOU TO ANSWER THE QUESTIONS,[],
785294568786956290,KATY PERRY,RT @JohnFugelsang: Trump's worst nightmare. 2 women and a gay man telling him not to talk. #debate,"[{u'indices': [91, 98], u'text': u'debate'}]",
785294480693952512,KATY PERRY,KEEP THEM NOTES 📝 @HillaryClinton,[],
785292112728391680,KATY PERRY,RT @getglucky: People are wearing sharper outfits at the playground these days.,[],
785290351481421825,KATY PERRY,RT @rejectedjokes: This looks and feels like a rap battle. #debate,"[{u'indices': [59, 66], u'text': u'debate'}]",
785287993082937344,KATY PERRY,RT @chelseahandler: What does Isis have to do with pussies? #Debates,"[{u'indices': [60, 68], u'text': u'Debates'}]",
785287447802511362,KATY PERRY,RT @shannonwoodward: THE OVAL OFFICE IS NOT A LOCKER ROOM,[],
785287316294230016,KATY PERRY,@shannonwoodward beta blockers,[],785286157743423488
785287177097908224,KATY PERRY,RT @getglucky: NO HANDSHAKE NINA,[],
785282645424996352,KATY PERRY,DON'T SHAKE HIS HAND #debates,"[{u'indices': [21, 29], u'text': u'debates'}]",
785266028032823296,KATY PERRY,"...police reform, gun control, mental health awareness, women's rights &amp; affordable education @HillaryClinton #Debates","[{u'indices': [114, 122], u'text': u'Debates'}]",
785265954267602946,KATY PERRY,"Difficult subjects I'd like to hear thoughts on tonight are: national security, climate change, excess incarceration (aka modern slavery)...",[],
785260965809967105,KATY PERRY,...lays out her policies about difficult subjects to an audience that is already preparing a seat at the table for her 🙏🏼,[],
785260911820836864,KATY PERRY,My wish for tonight's #Debates is that @HillaryClinton ignores the troll's time-wasting distractions and...,"[{u'indices': [22, 30], u'text': u'Debates'}]",
784671038059667456,KATY PERRY,@KatysMyHabibi Nope. I would stay and peacefully protest. 🙏🏼,[],784667849226915840
784665755874832384,KATY PERRY,"@sella_sandra it was one of those classic ""celebs should keep their opinion to themselves lols""",[],784664249880551424
784606008098361345,KATY PERRY,@CraigyFerg @RealMattLucas never forget skittles.,[],784543817059958784
784601955545079809,KATY PERRY,"RT @BetteMidler: #HORRICANEMATTHEW, a monster storm, doing untold damage, hard on the heels of once in a 1000-yrs floods, we MUST TALK ABOU…","[{u'indices': [17, 34], u'text': u'HORRICANEMATTHEW'}]",
784259512043642880,KATY PERRY,RT @getglucky: When they keep giving you the house wine and all you want is access to the cellar 🔦🎧,[],
784206599493529600,KATY PERRY,@BrunoMars I am ready papi,[],784199534549331968
783813099782451201,KATY PERRY,"You hear it as ""excellent"" I hear it as ""egg salad with lint"" 🤔",[],
783560235512246272,KATY PERRY,. @ferras &amp; I are cadence kweens 👑 cc @jessesaintjohn,[],
783461556658987008,KATY PERRY,You know it's a good meeting when you have fomo while just going to the toilet.,[],
783041747479777280,KATY PERRY,"WOAH. Was floored by my bestie @shannonwoodward last night in @WestworldHBO I'm foaming at the mouth for more, questioning everything today😐",[],782944518026977280
782491368249626624,KATY PERRY,"In a world driven by fear @DollyParton makes me feel safe, pure and simple. ❤️",[],
781759950347313152,KATY PERRY,meaningful lyrical connection + bit of math + makes your head bob = 👍🏼 pop song recipe,[],
780617067481497600,KATY PERRY,"RT @huckchinn: If you're a man and you keep saying that you ""don't trust Hillary,"" call your mom. Work that shit out.",[],
780598249291968512,KATY PERRY,Sleeping for a week now 👋🏼 #debates,"[{u'indices': [27, 35], u'text': u'debates'}]",
780597857816489984,KATY PERRY,RT @VICELAND: trump's got america cornered in a dark club explaining his vision for a clothing line,[],
780595177559916544,KATY PERRY,@mrgaryhuang @iamrashidajones this is what this gif was made for BRAVO,[],780592393477390337
780593744609419268,KATY PERRY,This is like watching a frog sitting in water that is boiling slowly... #debates,"[{u'indices': [72, 80], u'text': u'debates'}]",
780592010688401408,KATY PERRY,". @sallykohn sorry, meditation. I can't even spell anymore #debates","[{u'indices': [59, 67], u'text': u'debates'}]",780591787702378497
780591787702378497,KATY PERRY,. @sallykohn I'm going straight into a mediation after this.,[],780591334302347264
780591040214470656,KATY PERRY,"@sofifii there you are, welcome to the party bb",[],780590895590625280
780589899216977924,KATY PERRY,*sets up catheter to not miss a beat* #debates,"[{u'indices': [38, 46], u'text': u'debates'}]",
780587501945782272,KATY PERRY,. @getglucky and Santa is real lol,[],780587015175831552
780583793761673216,KATY PERRY,"RT @sallykohn: Hey, look, a presidential candidate who admits when she makes mistakes and apologizes.

How refreshing.

#Debates2016 #debat…","[{u'indices': [120, 132], u'text': u'Debates2016'}]",
780583694138482689,KATY PERRY,"RT @jessirklein: Annnnnnnnnd there ya go. In answer to not having paid any taxes he says  ""that makes me smart."" No. it makes you an unpatr…",[],
780580708490285058,KATY PERRY,She's smiling with ease cause #shesgotthis #ImWithHer #debatenight,"[{u'indices': [30, 42], u'text': u'shesgotthis'}, {u'indices': [43, 53], u'text': u'ImWithHer'}, {u'indices': [54, 66], u'text': u'debatenight'}]",
780578782721740800,KATY PERRY,YOU LIVE IN YOUR OWN REALITY 💥💣 #debatenight,"[{u'indices': [32, 44], u'text': u'debatenight'}]",
780576737105158148,KATY PERRY,"RT @sallykohn: When Trump asked if he could call Hillary ""Secretary Clinton"" she shoulda said, ""DAMN STRAIGHT I earned that title!""

#debat…",[],
779939865748131840,KATY PERRY,@KatyCatKenzie I'm Gaten Matarazzo from ST. TBH.,[],779938187074347008
779937507030937600,KATY PERRY,@perryschild thank you for this foto,[],779936772377587712
779936535525269504,KATY PERRY,@emilynotchez oh look who's back,[],779936185237934080
779935899073126400,KATY PERRY,@hotxcolds @maddisonxperry more shame. I guess I'll just stop interacting.,[],779934281040850944
779934587614924801,KATY PERRY,. @akaruikaty cause you can't have fun if you don't feel safe bb 💁🏻,[],779932406702825472
