id,posted_by,text,hashtags,in_reply_to_status_id
800586691173941248,Narendra Modi,Birthday wishes to @anandibenpatel. She is widely admired as a hardworking &amp; dedicated leader. I pray for her long life &amp; good health.,[],
800335995694551041,Narendra Modi,I congratulate Dr. Rajalakshmi Srinivasan for undertaking the effort of translating the poems into Sanskrit.,[],
800332529903419394,Narendra Modi,"Counterfeit currency rackets, narcotics, terrorism...the time has come to put an end to these evils.",[],
800261435775295488,Narendra Modi,Congratulations to @Pvsindhu1 for her first super series title. Well played! #ChinaOpen,"[{u'indices': [77, 87], u'text': u'ChinaOpen'}]",
800160859129462784,Narendra Modi,"Prayers with those injured in the tragic train accident. I've spoken to @sureshpprabhu, who is personally monitoring the situation closely.",[],
800160571618267136,Narendra Modi,Anguished beyond words on the loss of lives due to the derailing of the Patna-Indore express. My thoughts are with the bereaved families.,[],
799889169791254528,Narendra Modi,"Looking forward to sharing my thoughts at the #GlobalCitizenIndia festival in Mumbai later this evening, via video conferencing. @glblctznIN","[{u'indices': [46, 65], u'text': u'GlobalCitizenIndia'}]",
799791959686512640,Narendra Modi,Senior RSS Pracharak Shri K Suryanarayana Rao devoted his life to serving our Motherland. Saddened by his demise. May his soul rest in peace,[],
799791619364925440,Narendra Modi,Tributes to former Prime Minster Smt. Indira Gandhi on her birth anniversary.,[],
799626848288157697,Narendra Modi,Our Rail Budgets went beyond political considerations. They were focussed on ushering a paradigm shift in the functioning of the railways.,[],
799626663659061248,Narendra Modi,"Central Govt is doing everything possible to infuse railways with better technology, innovation &amp; infrastructure required in this century.",[],
799194132799438848,Narendra Modi,"RT @MEAIndia: A unique historical bond. @PresidentRuvi at Teen Murti, originally erected as memorial for Indian Army regiments that capture…",[],
799154993240489984,Narendra Modi,Had the opportunity of meeting Lt Gen (retd) Srinivas K Sinha just a few days ago. His service to our nation will always be remembered.,[],
799154811564265472,Narendra Modi,"Deeply saddened to learn of the demise of Lt Gen (retd) Srinivas K Sinha, former Governor of J&amp;K and Assam.",[],
798490109964271617,Narendra Modi,We are very proud of the Jewish community in India. This community is a vital part of our composite cultural mosaic.,[],
798489840178184193,Narendra Modi,We agreed that the global community must act with resolve &amp; determination against terror networks &amp; States that harbour them. @PresidentRuvi,[],
798489743151349761,Narendra Modi,"India cherishes the multidimensional partnership with Israel, in sectors like agriculture, science, investment, defence &amp; culture.",[],
798372377478344704,Narendra Modi,I pay homage to Bhagwan Birsa Munda  on his birth anniversary and recall his courage &amp; efforts towards empowerment of tribal communities.,[],
798120968317079554,Narendra Modi,RT @sureshpprabhu: 4/A much awaited infrastructure: Hon'ble PM @narendramodi laid foundation of Mau-Tarighat Rail cum Road Bridge over the…,[],
798120915607298048,Narendra Modi,RT @sureshpprabhu: 3/Hon'ble PM also laid foundation of Ghazipur City-Ballia Rail line doubling project.We are working on building infrastr…,[],
798120844098617345,Narendra Modi,RT @sureshpprabhu: 2/Hon.PM @narendramodi flagd off new Shabd Bhedi Express Train between Ghazipur nd Kolkata.Long awaited demand of people…,[],
798120811684974593,Narendra Modi,"RT @sureshpprabhu: 1/In big boost to Rail infrastructure in Uttar Pradesh Hon.PM @narendramodi laid foundation stone of key projects,dedica…",[],
797974319531855872,Narendra Modi,Tributes to Pandit Jawaharlal Nehru on his birth anniversary.,[],
797973843197341696,Narendra Modi,Gurupurab wishes to everyone. The inspiring teachings of the venerable Guru Nanak guide us in creating a prosperous &amp; harmonious society.,[],
797820157024501760,Narendra Modi,"Talked about aspects relating to agriculture including expanding foothold in bamboo products, land productivity &amp; focus on pulses.",[],
797819854703259648,Narendra Modi,Inaugurated an International Conference and Exhibition on Sugarcane Value Chain in Pune &amp; visited live crop demonstration plots.,[],
797058436441612289,Narendra Modi,Signing of Agreement for Cooperation in Peaceful Uses of Nuclear Energy is a historic step in our engagement for a clean energy partnership.,[],
796929605223354369,Narendra Modi,"Remembering Acharya Kripalani, an inspiring personality who worked for the well-being of the poor &amp; marginalised, on his birth anniversary.",[],
796929143845711872,Narendra Modi,"On his birth anniversary, tributes to Maulana Abul Kalam Azad. We recall his role in the freedom struggle &amp; efforts towards nation building.",[],
796686527376015362,Narendra Modi,I assure you the Govt is unwavering in its effort to create an India that is corruption free &amp; fruits of development touch every citizen.,[],
796686383482097664,Narendra Modi,"Such warmth, enthusiasm &amp; the patience to bear limited inconvenience for a greater good is indeed very heartening.",[],
796686207778439168,Narendra Modi,It is also heartening to learn that people are actively volunteering to help senior citizens withdraw money &amp; exchange their currency.,[],
796686109501755392,Narendra Modi,So happy to learn that citizens are expressing their gratitude to bankers &amp; getting notes exchanged in a very patient &amp; orderly manner.,[],
796685432834719749,Narendra Modi,RT @Jangid: Found people queuing up at banks. Helped them with my team by filling up &amp; distributing currency exchange forms. https://t.co/a…,[],
796684928440209408,Narendra Modi,"RT @Netra: Had same experience with ICICI Bank, Santacruz Br. Bank employees answering all queries + helping out each and everyone #DeMonet…",[],
796684907451912192,Narendra Modi,"RT @rashmibansal: Many banks hv separate desk for senior citizens, no standing in Q. My parents withdrew Rs 10,000 by chq in 100s. No probl…",[],
796684873662689281,Narendra Modi,RT @madhurinaik: Just returnd frm bank exhausted wid chaos n noise bt organization ws really gud staff ws helpful n cooperative kudos🙏2d #c…,[],
796684840569552898,Narendra Modi,RT @TheKiranSalla: Came to ICICI bank SR Nagar for money exchange. Huge crowd turn up. Very helpful staff. Urge everyone to be patient to g…,[],
796684745447014400,Narendra Modi,"RT @TheArvindDhar: update from the ground : very orderly way, without ciaos  banks working in rural area of Kaithal, people supporting @nar…",[],
796684697099239424,Narendra Modi,RT @ANI_news: The bank officials are helping us; I just deposited my old notes and will be withdrawing cash now: Local https://t.co/4ZPgTkw…,[],
796596247272521732,Narendra Modi,"RT @PMOIndia: PM reached Bangkok, Thailand for a brief visit during which he will pay respects to the Late King, His Majesty King Bhumibol…",[],
796392974187802624,Narendra Modi,RT @MEAIndia: PM conveyed his best wishes &amp; the two leaders looked forward to working closely to take the #IndiaUS strategic partnership to…,"[{u'indices': [110, 118], u'text': u'IndiaUS'}]",
