id,posted_by,text,hashtags,in_reply_to_status_id
792026993281859584,Neymar Jr,"RT @iaaforg: RT to vote @ThiagoBrazPV as Male World Athlete of the Year 2016
 
Voting closes at 5PM GMT on 1 November https://t.co/uVr0CxX6…",[],
730399076835942402,Neymar Jr,"""This month's craziest"" from January to March are: @kata_nemeth1, @SDWTOYAMA, @chricke14, @Cebrian_dj. Well done y'all!! #CrazySkillsAward","[{u'indices': [121, 138], u'text': u'CrazySkillsAward'}]",
704686313497354240,Neymar Jr,Happy birthday @justinbieber ✌🏽️👊🏽,[],
690215434377891840,Neymar Jr,"RT @redbull: Did someone just say @neymarjr ⚽️is taking over the @redbull Snapchat right now?! Yes. Yes they did. Go tune in 👻
https://t.co…",[],
684066043329929216,Neymar Jr,Excited and proud to have my own emoji for the #BallondOr. All my fans can now use #Neymar for the next 7 days! Thanks @twitter &amp; @FIFAcom !,"[{u'indices': [47, 57], u'text': u'BallondOr'}, {u'indices': [83, 90], u'text': u'Neymar'}]",
650216510011637764,Neymar Jr,RT @DelhiDynamos: Listen to @Oficial_RC3! Tweet with #LetsFootball and #RoarWithTheLions and help the Lions win today's twitter battle. htt…,"[{u'indices': [53, 66], u'text': u'LetsFootball'}, {u'indices': [71, 88], u'text': u'RoarWithTheLions'}]",
649776187271716864,Neymar Jr,The Voice Brasil .. Eu sou #TeamClaudiaLeitte,"[{u'indices': [27, 45], u'text': u'TeamClaudiaLeitte'}]",
633703158963941377,Neymar Jr,Retweet to #Vote for @wavesforwater to receive $500k in donation. #UpgradeYourWorld by bringing access to clean water to people worldwide.,"[{u'indices': [11, 16], u'text': u'Vote'}, {u'indices': [66, 83], u'text': u'UpgradeYourWorld'}]",
580787073122193409,Neymar Jr,So we meet again @Alexis_Sanchez !! Can't wait for the next Sunday !!,[],
555466587034365952,Neymar Jr,You're wrong! 😊 RT @fatbardha_Z I probably think it's more easy to be the queen of England than to be followed or noticed by you @neymarjr,[],
535130368345931776,Neymar Jr,"I luv Japan !! RT @love0v0snow @neymarjr 
Do you like JAPAN???🇯🇵😭♥",[],
535129193517178880,Neymar Jr,Beautiful !! RT @fuchs_georg @neymarjr RT if you like my city Vienna!,[],
529338458335375360,Neymar Jr,"Football is my life !! RT @JadeKimberlyNic Neymar , how much do you love football? @neymarjr",[],
519879667327967232,Neymar Jr,Hello everybody !!!!,[],
493868077378199554,Neymar Jr,"Happy Birthday @ElkeVleminckx !! 😉 RT @hannedeblick1 @neymarjr please give my best friend a happy birthday 😭😭😭 
@ElkeVleminckx !",[],
493865033601150978,Neymar Jr,"Bonjour @kerstinnnnnnnn !! @neymarjr Neymar can you say ""bonjour""to a girl French it's my biggest dream 😌 😌 😌",[],
479332921418211331,Neymar Jr,Have you heard ? My father is a movie star now !! #gamebeforethegame,"[{u'indices': [50, 68], u'text': u'gamebeforethegame'}]",
477566179176087552,Neymar Jr,Buona notte !! ;-) RT @Neymarshat @neymarjr can you say ' buona notte ' to me? I am an italian fan ♥♥♥♥♥,[],
475328384445472768,Neymar Jr,Hello !! RT @tconn2 @neymarjr Neymar can a big fan in the United States get a hello from you?,[],
474303815894986752,Neymar Jr,"Bona nit !! RT @MCToimil96 @neymarjr Neeeeeeeeeeeeeeey, bona nit♥",[],
467038043623682048,Neymar Jr,Never give up !! RT @smokindallas @neymarjr I actually give up on getting a tweet from u bcz u'll never notice me &amp; it hurts 😭😭😭,[],
466684166999134208,Neymar Jr,"RT @PvblicF: RT to help @wavesforwater win PVBLIC media grant up to $1,000,000! Org w/most RTs by 5pm PST 5/15 wins!  #SALT2014 http://t.co…","[{u'indices': [118, 127], u'text': u'SALT2014'}]",
464872433624023040,Neymar Jr,Hello !! ;-) RT @Rarhaaaaaa I'll be very happy if you say hello to me @neymarjr :'),[],
