id,posted_by,text,hashtags,in_reply_to_status_id
786048574220079108,Rihanna,Mumz just asked for 2 chicken wings and water 😂😂😂 right after asking if I watched Rob&amp;Chyna dis week! 🙈,[],
783481480475447297,Rihanna,My heart absolutely breaks for Haiti 🇭🇹 !!! Prayers up for my brothers and sisters who've fallen victim to this tragic event! 🙏🏿,[],
782303711460810752,Rihanna,Retweet or use #VoteCano to vote @robinsoncano for the Roberto Clemente award Good luck bro!,"[{u'indices': [15, 24], u'text': u'VoteCano'}]",
779487023937847296,Rihanna,"thank you @JuliaGillard! Proud to stand for education with you! @GPforEducation @GlblCtzn @ClaraLionelFdn, let's get to work!",[],779418606505488384
779379789232803840,Rihanna,.@VALLINIAndre @fhollande This is great news! Looking forward to it!,[],779241348545282048
779054070388682753,Rihanna,.@fhollande Did you see my letter? Waiting on your answer! We need your leadership on #EducationCannotWait,"[{u'indices': [86, 106], u'text': u'EducationCannotWait'}]",
771602445118021633,Rihanna,RT @hollyrpeete: CONGRATS to this phenomenal artist who cares SO much about her fans!! The Peetes 💜 U @rihanna #VMAs #vanguardaward https:/…,"[{u'indices': [111, 116], u'text': u'VMAs'}, {u'indices': [117, 131], u'text': u'vanguardaward'}]",
760522124964626436,Rihanna,#MALMO tonight we back for the #ANTIWORLDTOUR!! Can't wait to party with y'all!,"[{u'indices': [0, 6], u'text': u'MALMO'}, {u'indices': [31, 45], u'text': u'ANTIWORLDTOUR'}]",
748185419423031296,Rihanna,"RT @StarTrekMovie: Didn’t know @Rihanna was a #StarTrekMovie fan? Watch her talk about why she loves Star Trek in this featurette.
https://…","[{u'indices': [46, 60], u'text': u'StarTrekMovie'}]",
745419663035736068,Rihanna,@AdoringRihanna thanks for coming!! Hope you had a blast.,[],745180157527400448
743170182932103169,Rihanna,"#ANTIWorldTour Europe, we’re here!! Amsterdam you’re up first, who’s coming?!","[{u'indices': [0, 14], u'text': u'ANTIWorldTour'}]",
727587928944345090,Rihanna,"RT @ymcofficial: We can’t keep the secret any longer! @Rihanna is heading to the #AbuDhabiGP! Ohh, na, na! #RihannaAtF1 #Yasalam2016 https:…","[{u'indices': [81, 92], u'text': u'AbuDhabiGP'}, {u'indices': [107, 119], u'text': u'RihannaAtF1'}, {u'indices': [120, 132], u'text': u'Yasalam2016'}]",
722710433761771520,Rihanna,"RT @RIHANTI_: Needed Me video release time:
12 pm New York (noon)
1 pm Brasilia
5 pm London
6 pm Amsterdam
9 am Los Angeles
RT to help some…",[],
719235513044099073,Rihanna,"#BALTIMORE you were an absolute joy to be a part of last night! Thank you, I enjoyed you so much! #BOSTON you're up! #ANTIWORLDTOUR","[{u'indices': [0, 10], u'text': u'BALTIMORE'}, {u'indices': [98, 105], u'text': u'BOSTON'}, {u'indices': [117, 131], u'text': u'ANTIWORLDTOUR'}]",
717083906881753090,Rihanna,#WORK at No 1 on the #HOT100 for the 7th week! Glory to God! Thank y’all for the continued love and support! ⚓ #ANTI #CaribbeanTing,"[{u'indices': [0, 5], u'text': u'WORK'}, {u'indices': [21, 28], u'text': u'HOT100'}, {u'indices': [111, 116], u'text': u'ANTI'}, {u'indices': [117, 131], u'text': u'CaribbeanTing'}]",
715228032508813313,Rihanna,RT @TIDALHiFi: Brooklyn! A pair of @Rihanna tix for tonight could be yours. Show your TIDAL app at one of these 2 spots. 🎈 https://t.co/ygd…,[],
712981747621826561,Rihanna,Buffalo you reminded me of how much I love what I do! Can't wait to come back for real!!! Thank you! #soldout #ANTIWORLDTOUR 🎈,"[{u'indices': [101, 109], u'text': u'soldout'}, {u'indices': [110, 124], u'text': u'ANTIWORLDTOUR'}]",
712372040074960898,Rihanna,"Praying for all those who've been affected by acts of terror across the globe, most recent being in Brussels...Heart breaking! 🙏",[],
711928005090742273,Rihanna,Charlotte was #TunUp lastnight AND $old 0wt af! Thank you! This #ANTIWORLDTOUR is turning out to be the best I've ever felt on stage!⚓🎈,"[{u'indices': [14, 20], u'text': u'TunUp'}, {u'indices': [64, 78], u'text': u'ANTIWORLDTOUR'}]",
711406434890682369,Rihanna,Another $old OWT crew!!! Thank you Cincinnati for holding me down! Charlotte... You're next!!! #ANTIWorldTour,"[{u'indices': [95, 109], u'text': u'ANTIWorldTour'}]",
709785631505907713,Rihanna,"#ANTIWorldTour is in MIAMI tonight and it's $OLD OWT!!! Only way to get tix, find @TIDALHiFi reps with red balloons 🎈🎈🎈","[{u'indices': [0, 14], u'text': u'ANTIWorldTour'}]",
704417775226331136,Rihanna,#WORK is sittin pretty at #1 for a second week in a row on #BBHot100!!! Big ups to God and my fans!!!,"[{u'indices': [0, 5], u'text': u'WORK'}, {u'indices': [59, 68], u'text': u'BBHot100'}]",
702283124554780676,Rihanna,UK we back!!! Can't wait to perform at the @BRITs tomorrow! #RihannaBRITs,"[{u'indices': [60, 73], u'text': u'RihannaBRITs'}]",
701854602883420162,Rihanna,#WORK tops Billboard #Hot100!! Navy you killed it this week! #NavyRDie 🎈🔫,"[{u'indices': [0, 5], u'text': u'WORK'}, {u'indices': [21, 28], u'text': u'Hot100'}, {u'indices': [61, 70], u'text': u'NavyRDie'}]",
701578793979420674,Rihanna,Thank you for blessing me with all this love on my birthday! Yesterday was special! One Love Always,[],
700417766717812736,Rihanna,#THETRAINER is coming 2.26 #FENTYxPUMA,"[{u'indices': [0, 11], u'text': u'THETRAINER'}, {u'indices': [27, 38], u'text': u'FENTYxPUMA'}]",
699438746803048448,Rihanna,#NAVY so sorry I couldn't be there ..... Thanks Grammys and CBS for your support tonight.,"[{u'indices': [0, 5], u'text': u'NAVY'}]",
697512222675881984,Rihanna,Navy y’all did this i$h!!! FIRST &amp; ONLY @RIAA certified with 100M song awards &amp; #ANTI is PLATINUM!! Thank you for the love!,"[{u'indices': [88, 93], u'text': u'ANTI'}]",
697509079367950336,Rihanna,RT @RIAA: Not 1 but 2 @Rihanna milestones: 1st artist in Gold &amp; Platinum history to earn 100M song awards &amp; #ANTI is #Platinum https://t.co…,"[{u'indices': [116, 121], u'text': u'ANTI'}, {u'indices': [125, 134], u'text': u'Platinum'}]",
696087234030759937,Rihanna,#ANTI is the number 1 album on the Billboard #Hot200 chart!!! That damn Navy!!! Thank you for your love🎈🔫,"[{u'indices': [0, 5], u'text': u'ANTI'}, {u'indices': [45, 52], u'text': u'Hot200'}]",
695322347180457984,Rihanna,Don't forget to catch me and my girl @TheEllenShow today on NBC!!!,[],
692673867693711360,Rihanna,You guys legit made me the happiest girl in the world!! I'm so grateful that you appreciate the #ANTI album! It's the most rewarding feeling,"[{u'indices': [96, 101], u'text': u'ANTI'}]",
692402198634954754,Rihanna,"dry me ah desert him, nuh time to have you lurking, him ah go act like he nah like it 🎈",[],
675224685106302976,Rihanna,"Celebrating the power of giving back @ #DiamondBall! Thx to host @KevinHart4real, performer @LionelRichie, &amp; all @ClaraLionelFdn supporters!","[{u'indices': [39, 51], u'text': u'DiamondBall'}]",
668790297283940352,Rihanna,"Congrats &amp; thank you to the illest, we won another AMA! Thanks for voting &amp; thank you AMAs for acknowledging me as #favoritefemalesoulrnb","[{u'indices': [123, 145], u'text': u'favoritefemalesoulrnb'}]",
643535075141906432,Rihanna,"#THECREEPER SOLD OUT in 3 Hours!!! Thank you guys! And if you missed it, #THECREEPER launches Globally on the 25th!!! @PUMA","[{u'indices': [0, 11], u'text': u'THECREEPER'}, {u'indices': [73, 84], u'text': u'THECREEPER'}]",
643474521513701376,Rihanna,@OfficialDonnie maybe even sooner 😉,[],643473793818624000
643472661763477504,Rihanna,@stunnafenty MENS ARE COMING IN 2 weeks!!!!,[],643471674411753473
616349420473315328,Rihanna,Today is a day I'll never forget!!! Thank you #RihannaNavy for allowing me to make history with you!,"[{u'indices': [46, 58], u'text': u'RihannaNavy'}]",
616348201776316416,Rihanna,RT @billboard: .@Rihanna has become the first artist to surpass RIAA's 100 million cumulative singles award threshold: http://t.co/AZijZy77…,[],
586470566061678593,Rihanna,#RockInRio “@ReblRihanna: Rih sold 85 000 tickets in 57 minutes what kind of slayage is this” #RockInRio2015 I can't wait! Thank you Brazil,"[{u'indices': [0, 10], u'text': u'RockInRio'}, {u'indices': [94, 108], u'text': u'RockInRio2015'}]",586468858988474368
584541855309701120,Rihanna,“@loverir4eva: American oxygen needs to be release ASAP.” She comin!!! #AO,"[{u'indices': [71, 74], u'text': u'AO'}]",584540779131043841
584541462412439553,Rihanna,And you SANG EVERY FUCKING WORD!!!! That shit legit give me goosebumps!!! 🔫🔫🔫,[],
584541039848894465,Rihanna,Thank you Indiana!!!! I would never forget how much fun I had with you tonight!! You blew me away!!! Thank you man!! One love always,[],
584536628510720000,Rihanna,“@TarynT23: So….. the stream was the only fucked up part huh ? TYPICAL” you had to be there!!! #MarchMadnessMusicFestival,"[{u'indices': [95, 121], u'text': u'MarchMadnessMusicFestival'}]",584533210345955328
583388077269340161,Rihanna,"RT @jimmykimmel: .@Rihanna BURST into my bedroom last night.  Sneak peek of her terrifying #AprilFools ""greeting"" here: http://t.co/SZ71kh6…","[{u'indices': [91, 102], u'text': u'AprilFools'}]",
582392326573670400,Rihanna,"NAVY, turn the tide…#MakeMusicHistory #TurnitBlue #TIDALforALL","[{u'indices': [20, 37], u'text': u'MakeMusicHistory'}, {u'indices': [38, 49], u'text': u'TurnitBlue'}, {u'indices': [50, 62], u'text': u'TIDALforALL'}]",
582225464992886785,Rihanna,First ever #BBHMM performance on the #iHeartAwards tonight!!!! Tune in at 8/7c on NBC. @iHeartRadio #NavyRDie #R8,"[{u'indices': [11, 17], u'text': u'BBHMM'}, {u'indices': [37, 50], u'text': u'iHeartAwards'}, {u'indices': [100, 109], u'text': u'NavyRDie'}, {u'indices': [110, 113], u'text': u'R8'}]",
581501354880958464,Rihanna,#DreamWorksHOME hits theaters today!!! @DWAnimation,"[{u'indices': [0, 15], u'text': u'DreamWorksHOME'}]",
581125496362041345,Rihanna,RT @drizzyxcole: trap goddess genre “@itsKaitbh: I'M MISSING IT. WHAT GENRE IS IT?!?!?”,[],
574952991544897536,Rihanna,i Heart Radio baby!!!! Navy gon' be deep in dat muhphucka!!! #iHeartAwards #iHeartNavy,"[{u'indices': [61, 74], u'text': u'iHeartAwards'}, {u'indices': [75, 86], u'text': u'iHeartNavy'}]",
570282259544043520,Rihanna,“@RihrihFreak: Now when is the video coming into the out ? #TowardsTheSun” ha! #tweetoftheday @DWAnimation #HOME,"[{u'indices': [59, 73], u'text': u'TowardsTheSun'}, {u'indices': [79, 93], u'text': u'tweetoftheday'}, {u'indices': [107, 112], u'text': u'HOME'}]",570280950590009345
568867297210687488,Rihanna,Cus it's my birthday,[],
568140636714631168,Rihanna,"Today #FourFiveSeconds moves to #4 on @billboard #Hot100 !!! This is tremendous, and all a result of your support!","[{u'indices': [6, 22], u'text': u'FourFiveSeconds'}, {u'indices': [49, 56], u'text': u'Hot100'}]",
564687029171007489,Rihanna,What a night! Still can't believe we @kanyewest shared a stage with a fucking BEATLE tonight! #bucketlistshit Thank you Sir @PaulMcCartney,"[{u'indices': [94, 109], u'text': u'bucketlistshit'}]",
564645669109903360,Rihanna,RT @MACcosmetics: And...congrats to @rihanna on raising $50 mill+ for @MACAIDSFund during her 2014 #VIVAGLAM reign. Most ever in one year! 💋,"[{u'indices': [99, 108], u'text': u'VIVAGLAM'}]",
